id,file,line,area,symptom,local_behavior,remote_behavior,is_leak,severity,status,fix_direction
1,app/src/workspace/view.rs,12387,file browser cd,cd_to_directory remote silently ignored,fills `cd <path>` into input box,log warn + return (no-op),yes,medium,fixed,routed remote to cd_to_environment_directory (executes directly instead of filling input)
2,app/src/workspace/view.rs,12426,file browser new tab,open_directory_in_new_tab remote silently ignored,opens dir tab in current env,log warn + return (no-op),yes,medium,fixed,"removed guard; open_directory_tab_in_current_environment already routes by capability (runtime -> open_environment_runtime_terminal_entry, local -> open_terminal_bootstrap_directory_tab)"
3,app/src/workspace/view.rs,10427,open file,open_environment_file_with_target weaker than open_file_with_target,preview + additional_paths are params,preview=false additional_paths=&[] hardcoded,yes,medium,fixed,added preview + additional_paths params; pass through to open_code; existing callers pass false/&[] (equivalent)
4,app/src/workspace/environment_runtime.rs,537,session label,session_environment_display_label returns None for local,returns None (no label),returns host name,yes,low-medium,closed,"confirmed reasonable backend diff: local uses cwd as environment identity (terminal-native); session detail always has root label, environment label only fallback; remote uses host name because remote cwd does not identify the machine"
5,app/src/workspace/environment_runtime.rs,1792,terminal capability env,duplicated env builder vs local_tty/unix.rs:264,one copy in local_tty/unix.rs,one copy in environment_runtime.rs,yes,low,closed,"already unified into terminal/capability_environment.rs::terminal_capability_environment_variables; shared by local_tty/unix.rs (264,744) and environment_runtime.rs (1787,2831); test environment_runtime_pty_advertises_terminal_capabilities_like_local_pty guards parity"
6,app/src/workspace/view.rs,10111,error lifecycle,Environment Error state only for remote,no Environment error lifecycle,full handle_environment_runtime_failed + error state,yes,low,closed,accepted as backend diff: local terminal bootstrap has no async connect/install lifecycle that can fail out-of-band; local spawn errors surface synchronously at PTY creation. Documented in fix-plan Stage 2.3
7,app/src/workspace/view.rs,6663,agent/project open,open_agent_directory_tab returns false for remote (async intent),returns true (terminal immediately materialized + code review pane opened),returns false (only queues intent; no code review pane),yes,medium,fixed,added open_code_review_pane field to PendingEnvironmentRuntimeAgentViewEntry; welcome-view remote path sets it true; apply_pending_environment_runtime_entry_to_terminal toggles code review pane after runtime terminal materializes (deferred)
8,app/src/workspace/view.rs,8364,session restore startup command,restore command builder asymmetry,restored_terminal_bootstrap_startup_command prepends `cd <cwd> && cmd`,restored_environment_runtime_startup_command returns only pending_command (relies on spawn cwd),no,low,closed,confirmed合理 backend diff: remote runtime PTY spawn has working_directory field (pane_group/mod.rs:5189)
9,app/src/workspace/view.rs,5597,tab activation lifecycle,dormant runtime placeholder can stay blind after user-visible tab switch,terminal-bootstrap tabs are materialized synchronously,runtime placeholder needs queued intent plus transport ensure plus pending terminal materialize,yes,high,fixed,activate_tab focus_pane and close-active-tab fallback now call prepare_active_environment_after_visible_tab_activation; added shortcut/focus/close regression tests
10,app/src/workspace/view/session_navigator.rs,318,session navigator user-state,remote session alias pin were stored in local current-app sidecar and deleted tombstone hid provider scan results,local sessions write local ~/.ashide/session_state.json,remote sessions now read/write remote ~/.ashide/session_state.json via dedicated RPC; user-state only aliases/pinned,yes,high,fixed,environment-owned alias/pin store; delete mutates provider source first then clears alias/pin; no deleted tombstone because provider scan is source of truth
11,app/src/workspace/view.rs,22048,linear deeplink title,open_linear_issue_work local sets fallback display title 'Linear Issue' after entering agent view,sets fallback title 'Linear Issue' via BlocklistAIHistoryModel,queues agent entry with initial_prompt+origin only; no title (entry plan set_enter_agent_view_after_environment_bootstrap_with_entry has no title field),yes,low,fixed,added fallback_display_title to DeferredEnvironmentAgentViewEntry + PendingEnvironmentRuntimeAgentViewEntry; set_enter_agent_view_after_environment_bootstrap_with_entry takes title; terminal/view.rs:10870 consumer sets title via BlocklistAIHistoryModel after enter_agent_view_for_new_conversation; Linear entry sets Some('Linear Issue')
